date,000300.SH,399905.SZ,000906.SH,000016.SH
2010/1/4,3535.229,4510.527,3687.938,2514.646
2010/1/5,3564.038,4557.475,3719.951,2543.991
2010/1/6,3541.727,4550.279,3700.765,2514.014
2010/1/7,3471.456,4459.155,3627.177,2463.758
2010/1/8,3480.13,4514.452,3644.729,2466.165
2010/1/11,3482.052,4542.949,3651.741,2478.81
2010/1/12,3534.916,4639.632,3712.509,2508.039
2010/1/13,3421.144,4591.024,3612.373,2399.642
2010/1/14,3469.051,4714.1,3674.253,2422.771
2010/1/15,3482.738,4747.648,3691.622,2427.807
2010/1/18,3500.684,4829.062,3721.588,2421.188
2010/1/19,3507.482,4830.016,3727.196,2432.713
2010/1/20,3394.434,4651.074,3602.596,2359.485
2010/1/21,3408.574,4667.209,3616.981,2377.753
2010/1/22,3366.197,4537.88,3558.311,2380.055
2010/1/25,3328.014,4481.16,3516.943,2353.471
2010/1/26,3242.797,4294.383,3413.078,2311.447
2010/1/27,3198.566,4267.113,3372.526,2264.605
2010/1/28,3206.57,4336.381,3392.197,2252.61
2010/1/29,3204.155,4374.649,3397.604,2243.994
2010/2/1,3152.707,4331.366,3348.218,2208.936
2010/2/2,3146.189,4301.768,3337.339,2214.033
2010/2/3,3230.715,4363.079,3416.596,2277.798
2010/2/4,3218.802,4408.441,3415.778,2261.358
2010/2/5,3153.087,4311.293,3344.672,2219.6
2010/2/8,3150.988,4310.894,3342.919,2211.135
2010/2/9,3169.19,4311.891,3357.647,2229.038
2010/2/10,3214.13,4366.25,3403.958,2259.99
2010/2/11,3220.398,4356.517,3407.098,2265.138
2010/2/12,3251.278,4416.219,3443.205,2284.386
2010/2/22,3233.345,4419.547,3429.527,2269.045
2010/2/23,3198.634,4459.155,3409.418,2227.952
2010/2/24,3244.483,4556.281,3464.661,2251.7
2010/2/25,3292.128,4629.965,3516.838,2282.64
2010/2/26,3281.666,4634.671,3509.384,2274.325
2010/3/1,3324.423,4686.266,3553.423,2311.075
2010/3/2,3311.236,4690.293,3543.662,2302.185
2010/3/3,3335.081,4758.434,3575.767,2311.841
2010/3/4,3250.573,4586.523,3475.321,2261.926
2010/3/5,3259.764,4604.586,3486.124,2267.939
2010/3/8,3286.178,4654.583,3516.803,2284.682
2010/3/9,3305.863,4660.126,3533.588,2302.393
2010/3/10,3279.694,4598.994,3500.969,2292.503
2010/3/11,3276.705,4562.872,3491.659,2300.043
2010/3/12,3233.126,4492.861,3443.433,2274.532
2010/3/15,3183.183,4454.76,3396.234,2240.731
2010/3/16,3203.971,4491.465,3419.871,2261.515
2010/3/17,3273.916,4616.053,3499.609,2307.083
